Date,Type,Fatal,Species,day_week,Year,Decade
25/06/2018,Boating,N,White Shark,Monday,2018,2010
18/06/2018,Unprovoked,N, Regular Shark,Monday,2018,2010
09/06/2018,Invalid,N, Regular Shark,Saturday,2018,2010
08/06/2018,Unprovoked,N, Regular Shark,Friday,2018,2010
04/06/2018,Provoked,N,Tiger Shark,Monday,2018,2010
03/06/2018,Unprovoked,N, Regular Shark,Sunday,2018,2010
03/06/2018,Unprovoked,Y,Tiger Shark,Sunday,2018,2010
27/05/2018,Unprovoked,N,Lemon Shark,Sunday,2018,2010
26/05/2018,Unprovoked,N,Bull Shark,Saturday,2018,2010
26/05/2018,Unprovoked,N, Regular Shark,Saturday,2018,2010
24/05/2018,Provoked,N, Regular Shark,Thursday,2018,2010
21/05/2018,Unprovoked,N, Regular Shark,Monday,2018,2010
13/05/2018,Unprovoked,N, Regular Shark,Sunday,2018,2010
13/05/2018,Invalid,N,Uknowm,Sunday,2018,2010
2018,Provoked,N,Grey Nurse Shark,Monday,2018,2010
12/05/2018,Unprovoked,N, Regular Shark,Saturday,2018,2010
09/05/2018,Questionable,N, Regular Shark,Wednesday,2018,2010
30/04/2018,Unprovoked,N, Regular Shark,Monday,2018,2010
28/04/2018,Unprovoked,N,Tiger Shark,Saturday,2018,2010
28/04/2018,Unprovoked,N, Regular Shark,Saturday,2018,2010
25/04/2018,Questionable,N, Regular Shark,Wednesday,2018,2010
25/04/2018,Unprovoked,N, Regular Shark,Wednesday,2018,2010
24/04/2018,Unprovoked,N,White Shark,Tuesday,2018,2010
23/04/2018,Unprovoked,N,Tiger Shark,Monday,2018,2010
22/04/2018,Unprovoked,N,White Shark,Sunday,2018,2010
19/04/2018,Unprovoked,N, Regular Shark,Thursday,2018,2010
15/04/2018,Unprovoked,N,Bull Shark,Sunday,2018,2010
15/04/2018,Unprovoked,, Regular Shark,Sunday,2018,2010
15/04/2018,Unprovoked,N, Regular Shark,Sunday,2018,2010
15/04/2018,Unprovoked,N, Regular Shark,Sunday,2018,2010
14/04/2018,Unprovoked,N,Tiger Shark,Saturday,2018,2010
10/04/2018,Invalid,N, Regular Shark,Tuesday,2018,2010
09/04/2018,Unprovoked,N, Regular Shark,Monday,2018,2010
05/04/2018,Unprovoked,N,Bull Shark,Thursday,2018,2010
03/04/2018,Unprovoked,N,White Shark,Tuesday,2018,2010
31/03/2018,Unprovoked,N,Tiger Shark,Saturday,2018,2010
14/03/2018,Unprovoked,N,Wobbegong Shark,Wednesday,2018,2010
9/03/2018,Unprovoked,N, Regular Shark,Friday,2018,2010
9/03/2018,Unprovoked,N, Regular Shark,Friday,2018,2010
24/02/2018,Unprovoked,N,Blatip Shark,Saturday,2018,2010
23/02/2018,Unprovoked,N,White Shark,Friday,2018,2010
18/02/2018,Provoked,N, Regular Shark,Sunday,2018,2010
15/02/2018,Unprovoked,N,Bull Shark,Thursday,2018,2010
14/02/2018,Invalid,N,Wobbegong Shark,Wednesday,2018,2010
11/02/2018,Invalid,N, Regular Shark,Sunday,2018,2010
03/02/2018,Unprovoked,N, Regular Shark,Saturday,2018,2010
01/02/2018,Invalid,N, Regular Shark,Thursday,2018,2010
28/01/2018,Unprovoked,N,Bull Shark,Sunday,2018,2010
21/01/2018,Unprovoked,N,Bull Shark,Sunday,2018,2010
14/01/2018,Unprovoked,N, Regular Shark,Sunday,2018,2010
13/01/2018,Unprovoked,N,White Shark,Saturday,2018,2010
12/01/2018,Unprovoked,N, Regular Shark,Friday,2018,2010
05/01/2018,Unprovoked,N,Wobbegong Shark,Friday,2018,2010
31/12/2017,Unprovoked,N,Tiger Shark,Sunday,2017,2010
30/12/2017,Unprovoked,N, Regular Shark,Saturday,2017,2010
21/12/2017,Provoked,N,Grey Nurse Shark,Thursday,2017,2010
09/12/2017,Unprovoked,N,Grey Nurse Shark,Saturday,2017,2010
30/11/2017,Unprovoked,N,Tiger Shark,Thursday,2017,2010
30/11/2017,Unprovoked,Y,Tiger Shark,Thursday,2017,2010
25/11/2017,Sea Disaster,Y,Blue Pointer,Saturday,2017,2010
24/11/2017,Unprovoked,N,White Shark,Friday,2017,2010
18/11/2017,Unprovoked,N, Regular Shark,Saturday,2017,2010
13/11/2017,Unprovoked,N, Regular Shark,Monday,2017,2010
13/11/2017,Unprovoked,N, Regular Shark,Monday,2017,2010
04/11/2017,Unprovoked,Y,Tiger Shark,Saturday,2017,2010
31/10/2017,Unprovoked,N, Regular Shark,Tuesday,2017,2010
28/10/2017,Unprovoked,N,Wobbegong Shark,Saturday,2017,2010
26/10/2017,Unprovoked,N, Regular Shark,Thursday,2017,2010
23/10/2017,Unprovoked,N, Regular Shark,Monday,2017,2010
23/10/2017,Unprovoked,N, Regular Shark,Monday,2017,2010
23/10/2017,Unprovoked,N, Regular Shark,Monday,2017,2010
22/10/2017,Unprovoked,N,White Shark,Sunday,2017,2010
21/10/2017,Unprovoked,N, Regular Shark,Saturday,2017,2010
18/10/2017,Unprovoked,N,Spinner Shark,Wednesday,2017,2010
09/10/2017,Unprovoked,N,Tiger Shark,Monday,2017,2010
05/10/2017,Unprovoked,N, Regular Shark,Thursday,2017,2010
01/10/2017,Invalid,, Regular Shark,Sunday,2017,2010
25/09/2017,Unprovoked,N, Regular Shark,Monday,2017,2010
25/09/2017,Unprovoked,N,White Shark,Monday,2017,2010
24/09/2017,Invalid,, Regular Shark,Sunday,2017,2010
24/09/2017,Unprovoked,N, Regular Shark,Sunday,2017,2010
20/09/2017,Unprovoked,N, Regular Shark,Wednesday,2017,2010
